date,amount,category,description
17-11-2024,120.0,Income,Side gig
17-11-2024,1000.0,Expense,Grocery
01-11-2024,1000.0,Income,Side gig
15-11-2024,1000.0,Income,Side gig
10-11-2024,200.0,Expense,Food
18-11-2024,72.0,Expense,Toothpaste
16-11-2024,1000.0,Income,Prize money (SIH)
16-11-2024,300.0,Expense,Party
01-11-2024,1000,Income,Money from home
02-11-2024,50,Expense,Notebook
03-11-2024,150,Expense,Sandwich
04-11-2024,200,Income,Freelance Work
05-11-2024,75,Expense,Restaurant
06-11-2024,100,Expense,Transport
08-11-2024,30,Expense,Snacks
09-11-2024,250,Income,Stocks
10-11-2024,90,Expense,Netflix subscription
11-11-2024,60,Expense,Coffee
13-11-2024,80,Expense,Books
14-11-2024,150,Expense,Clothing
16-11-2024,40,Expense,Stationery
17-11-2024,180,Expense,Detergent
18-11-2024,250,Income,Freelance Work
19-10-2024,70,Expense,Restaurant
20-10-2024,130,Expense,Transport
22-10-2024,35,Expense,Snacks
23-10-2024,300,Expense,Stock
24-10-2024,100,Expense,Entertainment
25-10-2024,55,Expense,Coffee
27-10-2024,90,Expense,Books
28-10-2024,170,Expense,Clothing
29-10-2024,1200,Income,Diwali